FS_PERM_SEC_ID,FF_MKT_VAL_CURR,DATE,FF_FPNC,FF_SALES,FF_OPER_EXP_TOT,FF_CASH_ST,FF_CASH_ONLY,FF_INVEN,FF_ASSETS_CURR,FF_INTANG,FF_ASSETS,FF_LIABS_CURR,FF_DEBT_ST,FF_PAY_ACCT,FF_DEBT_LT,FF_COM_EQ,FF_DEBT,FF_SHLDRS_EQ,FF_WKCAP_CHG,FF_DIV_CF,FF_BPS,FF_COM_SHS_OUT,FF_PPE_NET,FF_RECEIV_ST,FF_DIV_PAY_OUT_PS,FF_AMORT_CF,FF_COM_EQ_RETAIN_EARN,FF_DEP_EXP,FF_GW,FF_PENS_EXP_NPP_NET,FF_DEBT_ST_NOTES_PAY,FF_DIV_COM_CF,FF_DEBT_LT_REDUCT_CF,FF_COGS_XDEP,FF_DEP_AMORT_EXP,FF_RD_EXP,FF_COGS,FF_INT_EXP_NET,FF_NET_INC,FF_LIABS,FF_OPER_CF,FF_CAPEX,FF_EBITDA_OPER,FF_SGA,FF_EBIT_OPER,FF_WKCAP
BV72W6-S-AU,,20101031,201010,0,1.40518129413653,3.56810223718943,0.38132680373277,0,3.74525871693493,,16.4534553017674,0.63808013446107,,0.30222421236071,0,15.8153751673063,0,15.8153751673063,0.0655319785195,0,0.14177,111.556905,12.7081965848325,0.16188355700736,0,,-5.7100740094115,0.01258895392387,0,,,0,0,0,0.01258895392387,0,0.01258895392387,,-0.84927953588246,0.63808013446107,-0.99261516772919,4.11865237675259,-1.39259,0.46448172030805,-1.40518,3.10717858247386
C8SC9H-S-US,,20101231,201012,14.849,14.241,2.322,2.322,1.73,6.85,0,7.039,2.041,0,1.2,0,4.117,0,4.117,-0.178,0,0.20104,20.479,0.145,2.539,0,0,-32.843,0.103,0,,,0,0,8.976,0.103,1.088,9.079,0.057,0.279,2.922,0.53,0.072,0.711,5.162,0.608,4.809
BK6S0Y-S-CA,3.40986,20101130,201011,0,0.992324,1.405205,1.050949,0,1.798333,0,17.439004,0.270432,0,0.131237,0,17.168572,0,17.168572,-0.070834,0,2.10874,8.14163180708157,15.640671,0.316405,0,0,-15.233466,0.006623,0,,,0,0,0,0.006623,0,0.006623,0,-0.61112,0.270432,-0.787372,3.374239,-0.98571,0.514085,-0.99233,1.527901
D8HLF4-S-CA,,20100831,201008,0.27922,1.590725,1.060573,1.060573,0,5.244117,3.995799,60.655075,9.10837,1.182015,7.926355,1.189155,28.494032,2.37117,28.494032,-6.017708,0,0.19531,145.889116,18.484555,4.183544,0,,-6.219417,0.209724,0,,,0,0.124842,,0.209724,0,,0.048605,-1.715951,10.33638,-7.23937,7.633496,-1.10178,1.381001,-1.3115,-3.864253
GHP2FP-S-CA,5.18072,20100930,201009,0.27864818763546,2.2004048344831,3.27675878565,3.27675878565,0,3.48683234865,0,25.5325529928,1.1593848945,0.6475083132,0.5118765813,0,24.10131887415,0.6475083132,24.10131887415,0.32858526193642,0,2.04677,11.7753084,20.24965015395,0.1759927743,0,,-184.79347066635,,,,,0,0,0.08518769220852,0.30828755916336,0,0.39347525137189,0,-33.0924374158463,1.43123411865,-1.09440746005017,1.87395852845655,-1.61347,1.80692958311121,-1.92176,2.32744745415
SN7V8H-S-US,8.04913,20101231,201012,0.015848,0.095319,0.001076,,0.047788,0.048864,0.009685,0.059821,0.277543,0.155874,0.012592,0,-0.217722,0.155874,-0.217722,0.015462,0,-0.0958,2.2725972,0.001272,0,0,0,-1.316707,0.001105,0,,,0,0,0.011414,0.014281,0.001063,0.025695,0.046917,-0.126388,0.277543,-0.085411,0,-0.06519,0.021417,-0.07947,-0.228679
RL98XS-S-US,303.243,20101231,201012,451.758,434.642,41.933,2.527,0,237.466,84.019,370.851,104.465,7.181,19.484,67.778,161.091,74.959,161.091,-38.633,0,4.21125,38.252497,11.926,185.224,0,5.488,79.643,4.513,57.31,,,0,1.972,276.602,10.001,0,286.603,3.144,14.216,202.755,-15.665,4.372,27.117,148.039,17.116,133.001
K84DK8-S,,20101231,201012,1378.395,908.385,358.563,216.537,,,2161.616,3312.074,,102.747,,767.615,1613.64,870.362,1613.64,73.49,220.029,5.61395,287.434,38.101,96.194,,174.144,-387.138,7.46,1122.892,,,220.029,105,98.244,181.604,,279.848,18.152,330.815,1698.434,576.685,26.735,669.766,600.43,488.162,
V5VWDQ-S-US,33.7409,20101231,201012,6.495314,6.060369,,,,,0,114.06367,,0,,3.093,7.016257,3.093,7.016257,0.045878,0,5.28504,1.32756884125,6.34267,,0,,4.190208,,0,,,0,0,,0.172647,,,0.204425,0.305301,107.047413,1.19798,3.415134,,,,
HQBQDH-S-US,,20101231,201012,4.929462,6.66732,,,,,0,80.518284,,3.5,,3.23949,8.076743,6.73949,8.076743,0.814158,0,4.87327,1.65735515997,0.113541,,0,,-5.937103,,0,,,0,0.5,,0.090367,,,0.199822,-1.737858,72.441541,1.700339,0.002988,,,,
